uuid,day_id,license,model,feature,requests_cnt,spent_amount
user_441,2025-05-02,Enterprise,Model_E,Feature_1,72.0,13.02
user_605,2025-03-21,Premium,Model_C,Feature_1,134.0,15.18
user_940,2025-04-21,Premium,Model_D,Feature_4,80.0,19.23
user_23,2025-05-26,Basic,Model_A,Feature_2,11.0,4.16
user_848,2025-05-14,Enterprise,Model_A,Feature_4,86.0,32.89
user_218,2025-04-18,Standard,Model_A,Feature_1,17.0,5.8
user_269,2025-04-17,Basic,Model_B,Feature_3,29.0,10.31
user_617,2025-03-02,Premium,Model_C,Feature_1,70.0,15.53
user_85,2025-03-25,Premium,Model_A,Feature_4,35.0,11.94
user_297,2025-04-08,Basic,Model_A,Feature_3,9.0,2.85
user_427,2025-03-28,Standard,Model_B,Feature_3,21.0,6.51
user_314,2025-03-04,Basic,Model_A,Feature_1,9.0,3.3
user_418,2025-04-12,Standard,Model_C,Feature_5,21.0,6.06
user_254,2025-05-12,Premium,Model_B,Feature_2,64.0,23.21
user_901,2025-03-27,Basic,Model_C,Feature_1,30.0,3.9
user_163,2025-03-24,Enterprise,Model_C,Feature_2,93.0,20.13
user_465,2025-04-21,Standard,Model_D,Feature_2,91.0,15.07
user_505,2025-04-16,Standard,Model_A,Feature_1,10.0,3.32
user_632,2025-03-17,Standard,Model_A,Feature_2,28.0,10.14
user_77,2025-04-07,Enterprise,Model_C,Feature_3,171.0,25.35
user_646,2025-05-16,Standard,Model_D,Feature_2,89.0,15.61
user_771,2025-03-25,Basic,Model_C,Feature_1,30.0,5.15
user_545,2025-03-05,Enterprise,Model_A,Feature_3,63.0,26.97
user_863,2025-04-07,Standard,Model_C,Feature_2,34.0,6.55
user_599,2025-04-15,Basic,Model_A,Feature_3,12.0,4.38
user_610,2025-05-21,Premium,Model_A,Feature_3,35.0,14.04
user_306,2025-03-04,Premium,Model_E,Feature_2,112.0,27.69
user_359,2025-04-08,Premium,Model_C,Feature_2,50.0,8.19
user_910,2025-03-26,Premium,Model_C,Feature_3,65.0,11.11
user_286,2025-03-13,Standard,Model_C,Feature_1,41.0,6.73
user_617,2025-04-24,Premium,Model_C,Feature_1,75.0,15.79
user_755,2025-04-16,Basic,Model_D,Feature_1,97.0,23.59
user_382,2025-04-24,Premium,Model_E,Feature_1,61.0,11.07
user_318,2025-03-26,Enterprise,Model_A,Feature_1,99.0,33.99
user_929,2025-05-12,Basic,Model_B,Feature_1,22.0,8.5
user_850,2025-04-28,Premium,Model_B,Feature_1,50.0,19.91
user_212,2025-04-19,Premium,Model_B,Feature_4,10.0,5.1
user_641,2025-03-24,Enterprise,Model_A,Feature_1,51.0,17.7
user_76,2025-04-17,Enterprise,Model_D,Feature_4,94.0,17.78
user_960,2025-05-27,Standard,Model_B,Feature_3,21.0,7.95
user_551,2025-04-07,Basic,Model_A,Feature_1,20.0,6.17
user_371,2025-05-16,Standard,Model_D,Feature_1,127.0,20.490000000000002
user_496,2025-03-05,Enterprise,Model_A,Feature_1,27.0,8.73
user_452,2025-03-09,Premium,Model_B,Feature_5,29.0,9.94
user_856,2025-04-10,Enterprise,Model_C,Feature_3,258.0,46.74
user_180,2025-04-23,Enterprise,Model_E,Feature_1,75.0,14.4
user_21,2025-03-18,Premium,Model_B,Feature_1,57.0,21.14
user_204,2025-04-16,Basic,Model_D,Feature_2,70.0,14.73
user_563,2025-03-28,Premium,Model_E,Feature_1,177.0,30.08
user_301,2025-04-24,Basic,Model_A,Feature_2,21.0,7.57
user_774,2025-05-22,Enterprise,Model_D,Feature_1,90.0,12.45
user_175,2025-04-24,Enterprise,Model_B,Feature_2,39.0,14.37
user_846,2025-05-01,Basic,Model_C,Feature_1,76.0,14.41
user_725,2025-05-30,Standard,Model_C,Feature_1,48.0,5.38
user_792,2025-04-14,Premium,Model_A,Feature_1,16.0,6.32
user_452,2025-03-24,Premium,Model_B,Feature_1,94.0,33.49
user_572,2025-05-26,Premium,Model_E,Feature_1,131.0,28.490000000000002
user_762,2025-05-23,Standard,Model_C,Feature_1,52.0,6.48
user_387,2025-03-31,Enterprise,Model_E,Feature_1,240.0,41.160000000000004
user_656,2025-05-29,Standard,Model_B,Feature_1,11.0,4.3
user_461,2025-05-25,Standard,Model_A,Feature_1,14.0,5.11
user_504,2025-03-26,Enterprise,Model_D,Feature_1,186.0,32.82
user_775,2025-03-03,Premium,Model_E,Feature_3,70.0,14.39
user_480,2025-05-19,Standard,Model_B,Feature_1,64.0,22.990000000000002
user_289,2025-04-14,Standard,Model_E,Feature_2,61.0,12.07
user_875,2025-03-05,Standard,Model_A,Feature_1,22.0,7.77
user_748,2025-04-24,Enterprise,Model_C,Feature_5,48.0,7.26
user_219,2025-03-06,Basic,Model_B,Feature_1,35.0,14.25
user_142,2025-04-23,Premium,Model_A,Feature_2,77.0,29.65
user_592,2025-05-21,Premium,Model_E,Feature_3,35.0,7.93
user_508,2025-05-09,Basic,Model_D,Feature_1,36.0,5.38
user_963,2025-05-29,Premium,Model_B,Feature_3,78.0,27.18
user_378,2025-05-12,Standard,Model_C,Feature_3,35.0,6.94
user_331,2025-04-17,Enterprise,Model_A,Feature_1,57.0,20.939999999999998
user_806,2025-04-24,Enterprise,Model_D,Feature_2,102.0,21.6
user_864,2025-05-26,Premium,Model_A,Feature_1,113.0,40.86
user_229,2025-05-14,Basic,Model_D,Feature_1,33.0,6.5
user_898,2025-04-30,Enterprise,Model_B,Feature_2,42.0,16.74
user_580,2025-04-29,Premium,Model_A,Feature_1,45.0,17.990000000000002
user_81,2025-05-14,Standard,Model_E,Feature_3,29.0,5.56
user_793,2025-04-18,Enterprise,Model_D,Feature_1,93.0,21.66
user_546,2025-05-28,Basic,Model_B,Feature_1,14.0,4.66
user_822,2025-03-03,Basic,Model_E,Feature_1,30.0,7.25
user_589,2025-05-12,Basic,Model_C,Feature_3,44.0,7.77
user_453,2025-05-20,Basic,Model_B,Feature_2,38.0,13.0
user_717,2025-04-28,Premium,Model_C,Feature_3,62.0,15.32
user_768,2025-04-10,Basic,Model_C,Feature_2,21.0,4.92
user_343,2025-04-15,Basic,Model_A,Feature_1,7.0,2.55
user_923,2025-05-02,Premium,Model_B,Feature_1,17.0,5.2
user_691,2025-05-30,Basic,Model_E,Feature_1,47.0,7.91
user_276,2025-04-28,Premium,Model_A,Feature_2,69.0,26.85
user_71,2025-04-21,Premium,Model_C,Feature_1,70.0,15.26
user_268,2025-04-22,Basic,Model_B,Feature_3,28.0,10.059999999999999
user_148,2025-05-20,Premium,Model_B,Feature_1,33.0,11.65
user_919,2025-05-27,Basic,Model_A,Feature_3,13.0,4.59
user_280,2025-04-05,Enterprise,Model_A,Feature_1,48.0,18.0
user_370,2025-05-16,Standard,Model_A,Feature_2,17.0,6.17
user_985,2025-05-19,Standard,Model_A,Feature_2,15.0,4.47
user_851,2025-03-05,Standard,Model_C,Feature_1,146.0,27.550000000000004
user_919,2025-03-28,Basic,Model_A,Feature_3,12.0,5.04
user_698,2025-05-20,Standard,Model_D,Feature_1,94.0,16.41
user_119,2025-05-28,Standard,Model_A,Feature_1,15.0,5.71
user_751,2025-04-06,Basic,Model_D,Feature_5,39.0,7.78
user_51,2025-04-29,Basic,Model_A,Feature_1,25.0,9.05
user_472,2025-05-30,Standard,Model_B,Feature_1,43.0,15.08
user_548,2025-04-17,Basic,Model_A,Feature_2,11.0,3.21
user_928,2025-04-18,Basic,Model_C,Feature_2,18.0,4.25
user_18,2025-03-11,Premium,Model_C,Feature_2,130.0,25.54
user_59,2025-03-24,Premium,Model_D,Feature_3,139.0,25.85
user_939,2025-04-09,Premium,Model_A,Feature_2,46.0,16.95
user_228,2025-03-06,Standard,Model_E,Feature_2,35.0,6.12
user_870,2025-03-31,Enterprise,Model_B,Feature_1,42.0,14.01
user_388,2025-03-04,Standard,Model_D,Feature_3,31.0,7.71
user_458,2025-04-30,Standard,Model_E,Feature_3,15.0,2.06
user_852,2025-03-17,Premium,Model_A,Feature_1,38.0,12.64
user_357,2025-04-23,Standard,Model_E,Feature_3,24.0,3.63
user_340,2025-05-06,Enterprise,Model_B,Feature_1,63.0,23.82
user_271,2025-04-17,Enterprise,Model_D,Feature_2,117.0,19.47
user_733,2025-04-17,Enterprise,Model_A,Feature_2,27.0,9.87
user_75,2025-03-20,Premium,Model_D,Feature_1,370.0,79.53999999999999
user_343,2025-04-24,Basic,Model_A,Feature_1,48.0,18.57
user_19,2025-04-18,Premium,Model_C,Feature_1,86.0,16.1
user_5,2025-05-10,Enterprise,Model_C,Feature_3,75.0,7.35
user_510,2025-04-17,Enterprise,Model_A,Feature_2,36.0,14.31
user_809,2025-03-30,Basic,Model_E,Feature_2,27.0,3.74
user_531,2025-05-07,Premium,Model_A,Feature_2,29.0,12.38
user_258,2025-05-09,Premium,Model_D,Feature_2,83.0,14.19
user_133,2025-05-28,Basic,Model_D,Feature_2,31.0,7.22
user_777,2025-05-19,Premium,Model_E,Feature_1,66.0,17.52
user_563,2025-05-23,Premium,Model_E,Feature_3,31.0,6.24
user_800,2025-03-04,Enterprise,Model_B,Feature_1,72.0,24.63
user_174,2025-05-16,Enterprise,Model_C,Feature_1,96.0,19.83
user_169,2025-04-17,Standard,Model_B,Feature_3,41.0,14.18
user_484,2025-04-28,Standard,Model_A,Feature_2,14.0,5.03
user_227,2025-05-06,Enterprise,Model_A,Feature_2,66.0,23.490000000000002
user_280,2025-03-18,Enterprise,Model_A,Feature_3,36.0,14.31
user_814,2025-05-07,Premium,Model_E,Feature_2,79.0,10.72
user_344,2025-03-03,Enterprise,Model_A,Feature_1,21.0,7.62
user_181,2025-04-28,Premium,Model_C,Feature_1,152.0,19.89
user_848,2025-05-20,Enterprise,Model_A,Feature_2,36.0,12.09
user_890,2025-05-13,Premium,Model_D,Feature_4,98.0,18.38
user_276,2025-05-12,Premium,Model_A,Feature_1,22.0,6.81
user_330,2025-04-23,Standard,Model_D,Feature_3,60.0,11.71
user_927,2025-03-30,Premium,Model_B,Feature_2,51.0,18.49
user_222,2025-03-17,Basic,Model_D,Feature_5,75.0,17.28
user_576,2025-03-05,Enterprise,Model_C,Feature_1,96.0,14.82
user_680,2025-04-10,Standard,Model_A,Feature_3,17.0,6.06
user_964,2025-05-30,Basic,Model_D,Feature_4,33.0,9.07
user_924,2025-05-30,Standard,Model_E,Feature_5,43.0,11.03
user_122,2025-05-01,Premium,Model_E,Feature_3,38.0,5.24
user_90,2025-05-05,Premium,Model_B,Feature_1,46.0,16.27
user_788,2025-04-21,Enterprise,Model_D,Feature_1,84.0,18.72
user_164,2025-04-21,Standard,Model_D,Feature_1,129.0,31.07
user_893,2025-03-21,Enterprise,Model_C,Feature_1,99.0,20.55
user_426,2025-03-14,Standard,Model_A,Feature_3,15.0,5.81
user_838,2025-04-15,Enterprise,Model_B,Feature_1,51.0,14.940000000000001
user_257,2025-04-04,Standard,Model_B,Feature_1,32.0,12.629999999999999
user_142,2025-03-16,Premium,Model_A,Feature_3,17.0,6.57
user_564,2025-03-20,Standard,Model_C,Feature_1,77.0,19.11
user_318,2025-04-16,Enterprise,Model_A,Feature_3,66.0,26.16
user_676,2025-04-15,Enterprise,Model_A,Feature_1,75.0,27.990000000000002
user_267,2025-03-07,Enterprise,Model_A,Feature_3,42.0,15.66
user_617,2025-05-29,Premium,Model_C,Feature_1,191.0,41.32
user_354,2025-05-27,Basic,Model_D,Feature_2,31.0,6.29
user_924,2025-05-13,Standard,Model_E,Feature_2,56.0,10.01
user_320,2025-03-11,Premium,Model_C,Feature_5,41.0,9.03
user_959,2025-05-05,Enterprise,Model_B,Feature_2,96.0,35.34
user_692,2025-05-15,Premium,Model_A,Feature_2,30.0,11.65
user_282,2025-04-28,Premium,Model_C,Feature_2,45.0,8.98
user_245,2025-05-29,Basic,Model_B,Feature_4,7.0,2.82
user_865,2025-03-08,Basic,Model_A,Feature_5,5.0,1.88
user_586,2025-03-05,Premium,Model_A,Feature_1,16.0,6.28
user_221,2025-03-10,Basic,Model_C,Feature_2,19.0,4.32
user_935,2025-04-07,Premium,Model_C,Feature_5,2600.0,464.5
user_772,2025-05-29,Enterprise,Model_E,Feature_1,147.0,35.94
user_205,2025-05-06,Standard,Model_D,Feature_2,52.0,8.64
user_107,2025-04-16,Basic,Model_C,Feature_2,37.0,7.29
user_653,2025-04-28,Premium,Model_D,Feature_4,168.0,26.689999999999998
user_409,2025-04-30,Premium,Model_A,Feature_3,29.0,11.55
user_166,2025-04-17,Basic,Model_D,Feature_1,37.0,7.63
user_709,2025-04-30,Standard,Model_D,Feature_3,35.0,4.19
user_238,2025-04-14,Standard,Model_C,Feature_1,43.0,9.14
user_37,2025-05-30,Standard,Model_A,Feature_2,17.0,5.66
user_400,2025-05-21,Standard,Model_A,Feature_1,33.0,11.850000000000001
user_787,2025-03-18,Enterprise,Model_A,Feature_1,24.0,9.12
user_39,2025-03-06,Premium,Model_A,Feature_4,23.0,8.46
user_234,2025-05-02,Basic,Model_C,Feature_2,16.0,2.56
user_12,2025-05-19,Premium,Model_D,Feature_2,73.0,12.93
user_342,2025-04-18,Premium,Model_B,Feature_1,65.0,22.93
user_782,2025-05-16,Standard,Model_D,Feature_1,41.0,7.2
user_357,2025-03-21,Standard,Model_E,Feature_1,79.0,14.33
user_259,2025-03-21,Premium,Model_A,Feature_3,17.0,6.35
user_846,2025-05-16,Basic,Model_C,Feature_1,111.0,16.31
user_388,2025-04-29,Standard,Model_D,Feature_3,66.0,8.530000000000001
user_481,2025-05-29,Enterprise,Model_D,Feature_4,109.0,24.02
user_279,2025-04-28,Basic,Model_C,Feature_2,15.0,1.85
user_449,2025-04-27,Standard,Model_A,Feature_1,28.0,10.0
user_482,2025-03-09,Enterprise,Model_B,Feature_1,69.0,26.52
user_377,2025-04-24,Enterprise,Model_C,Feature_2,90.0,15.3
user_777,2025-05-28,Premium,Model_D,Feature_1,70.0,14.35
user_872,2025-03-28,Enterprise,Model_B,Feature_3,84.0,33.03
user_76,2025-03-18,Enterprise,Model_D,Feature_5,111.0,26.25
user_299,2025-05-01,Premium,Model_B,Feature_2,29.0,10.71
user_799,2025-04-09,Premium,Model_A,Feature_5,11.0,3.97
user_660,2025-03-25,Enterprise,Model_A,Feature_1,60.0,19.35
user_891,2025-04-04,Basic,Model_A,Feature_1,18.0,6.68
user_364,2025-03-28,Enterprise,Model_C,Feature_2,168.0,37.620000000000005
user_908,2025-03-27,Standard,Model_D,Feature_4,47.0,10.07
user_165,2025-03-31,Basic,Model_D,Feature_2,105.0,17.16
user_425,2025-03-16,Basic,Model_D,Feature_2,72.0,15.27
user_282,2025-05-14,Premium,Model_C,Feature_3,55.0,7.04
user_243,2025-03-26,Standard,Model_A,Feature_1,8.0,2.91
user_700,2025-03-27,Premium,Model_B,Feature_3,28.0,9.1
user_542,2025-03-31,Basic,Model_C,Feature_2,35.0,7.82
user_764,2025-05-13,Basic,Model_D,Feature_3,24.0,6.14
user_896,2025-03-19,Standard,Model_A,Feature_5,7.0,2.8
user_223,2025-03-17,Enterprise,Model_B,Feature_3,87.0,33.18
user_950,2025-04-24,Basic,Model_C,Feature_4,46.0,8.64
user_819,2025-05-05,Enterprise,Model_A,Feature_1,63.0,21.78
user_493,2025-05-23,Basic,Model_A,Feature_1,23.0,9.19
user_424,2025-05-09,Premium,Model_D,Feature_2,79.0,14.39
user_202,2025-04-22,Enterprise,Model_C,Feature_5,45.0,9.51
user_24,2025-04-10,Premium,Model_C,Feature_3,57.0,12.95
user_355,2025-05-27,Premium,Model_B,Feature_2,39.0,15.21
user_528,2025-05-27,Premium,Model_E,Feature_4,89.0,12.06
user_171,2025-05-19,Premium,Model_B,Feature_2,35.0,14.07
user_254,2025-04-04,Premium,Model_B,Feature_1,80.0,28.669999999999998
user_368,2025-05-07,Basic,Model_C,Feature_2,13.0,2.69
user_276,2025-04-10,Premium,Model_A,Feature_3,79.0,29.060000000000002
user_832,2025-04-24,Premium,Model_B,Feature_3,99.0,31.800000000000004
user_649,2025-03-13,Enterprise,Model_A,Feature_1,27.0,9.48
user_982,2025-05-26,Standard,Model_D,Feature_3,27.0,5.47
user_645,2025-03-17,Basic,Model_A,Feature_1,6.0,2.23
user_453,2025-03-18,Basic,Model_B,Feature_1,20.0,6.859999999999999
user_599,2025-03-20,Basic,Model_A,Feature_5,7.0,2.75
user_727,2025-03-17,Basic,Model_A,Feature_2,18.0,6.83
user_632,2025-05-20,Standard,Model_A,Feature_3,18.0,7.5
user_213,2025-05-19,Enterprise,Model_D,Feature_3,66.0,13.14
user_677,2025-03-10,Basic,Model_D,Feature_3,19.0,4.51
user_800,2025-05-30,Enterprise,Model_B,Feature_5,36.0,11.94
user_125,2025-05-29,Premium,Model_B,Feature_2,36.0,13.58
user_713,2025-04-11,Enterprise,Model_D,Feature_1,108.0,25.23
user_338,2025-05-02,Basic,Model_A,Feature_1,11.0,4.36
user_182,2025-05-07,Standard,Model_B,Feature_2,38.0,13.02
user_585,2025-05-26,Enterprise,Model_E,Feature_1,75.0,12.63
user_886,2025-04-05,Enterprise,Model_E,Feature_3,105.0,21.119999999999997
user_718,2025-03-21,Enterprise,Model_E,Feature_1,171.0,32.91
user_687,2025-04-08,Premium,Model_A,Feature_3,75.0,22.47
user_309,2025-03-27,Basic,Model_C,Feature_2,22.0,4.29
user_74,2025-05-12,Premium,Model_B,Feature_1,47.0,16.75
user_391,2025-05-27,Basic,Model_D,Feature_1,59.0,9.120000000000001
user_246,2025-03-10,Basic,Model_A,Feature_1,17.0,6.380000000000001
user_492,2025-04-30,Premium,Model_A,Feature_2,45.0,17.29
user_396,2025-04-09,Enterprise,Model_C,Feature_2,201.0,33.84
user_645,2025-05-22,Basic,Model_A,Feature_2,10.0,3.19
user_198,2025-03-15,Enterprise,Model_E,Feature_2,165.0,44.34
user_541,2025-05-20,Premium,Model_C,Feature_1,86.0,14.31
user_302,2025-03-07,Enterprise,Model_C,Feature_1,183.0,36.33
user_625,2025-03-14,Standard,Model_D,Feature_3,29.0,6.8
user_236,2025-03-21,Standard,Model_E,Feature_2,35.0,6.12
user_588,2025-05-21,Standard,Model_D,Feature_1,38.0,6.02
user_42,2025-03-24,Standard,Model_A,Feature_1,20.0,7.42
user_675,2025-03-27,Basic,Model_B,Feature_2,24.0,7.74
user_635,2025-04-11,Enterprise,Model_A,Feature_1,36.0,12.27
user_184,2025-03-10,Standard,Model_A,Feature_5,20.0,7.58
user_888,2025-04-09,Basic,Model_A,Feature_2,9.0,3.6
user_858,2025-05-15,Standard,Model_A,Feature_3,38.0,14.44
user_581,2025-03-06,Premium,Model_A,Feature_3,42.0,16.380000000000003
user_550,2025-04-16,Basic,Model_B,Feature_1,15.0,5.09
user_381,2025-05-07,Standard,Model_D,Feature_2,42.0,6.12
user_667,2025-03-27,Premium,Model_A,Feature_2,20.0,7.45
user_893,2025-03-16,Enterprise,Model_C,Feature_2,57.0,9.27
user_399,2025-05-08,Premium,Model_E,Feature_2,47.0,6.39
user_121,2025-04-26,Basic,Model_A,Feature_3,12.0,4.58
user_729,2025-04-25,Standard,Model_B,Feature_1,13.0,4.9
user_178,2025-05-06,Enterprise,Model_B,Feature_2,81.0,29.55
user_845,2025-05-04,Premium,Model_A,Feature_3,27.0,9.08
user_284,2025-03-25,Standard,Model_B,Feature_1,26.0,10.08
user_427,2025-03-25,Standard,Model_B,Feature_3,24.0,8.44
user_800,2025-03-06,Enterprise,Model_B,Feature_1,114.0,41.34
user_480,2025-04-07,Standard,Model_B,Feature_2,35.0,12.219999999999999
user_755,2025-05-28,Basic,Model_D,Feature_2,31.0,6.93
user_648,2025-04-25,Standard,Model_D,Feature_2,90.0,22.009999999999998
user_647,2025-04-22,Enterprise,Model_D,Feature_1,198.0,50.91
user_365,2025-05-26,Enterprise,Model_A,Feature_1,30.0,11.43
user_820,2025-05-15,Enterprise,Model_B,Feature_4,19.0,6.48
user_31,2025-05-02,Premium,Model_C,Feature_2,46.0,7.13
user_915,2025-05-17,Premium,Model_A,Feature_1,30.0,9.73
user_483,2025-03-10,Basic,Model_A,Feature_2,17.0,6.529999999999999
user_525,2025-04-24,Standard,Model_C,Feature_2,53.0,9.2
user_56,2025-05-21,Enterprise,Model_C,Feature_2,42.0,9.9
user_42,2025-05-20,Standard,Model_B,Feature_2,21.0,7.01
user_734,2025-04-21,Standard,Model_B,Feature_4,4.0,1.68
user_318,2025-03-19,Enterprise,Model_A,Feature_3,30.0,12.96
user_640,2025-05-02,Enterprise,Model_B,Feature_3,42.0,15.75
user_59,2025-05-16,Premium,Model_D,Feature_2,90.0,20.36
user_600,2025-04-23,Enterprise,Model_B,Feature_1,39.0,11.58
user_660,2025-03-28,Enterprise,Model_A,Feature_1,27.0,10.26
user_124,2025-03-20,Enterprise,Model_A,Feature_2,75.0,27.869999999999997
user_15,2025-05-13,Premium,Model_C,Feature_4,129.0,35.51
user_845,2025-05-02,Premium,Model_A,Feature_2,81.0,30.560000000000002
user_20,2025-04-28,Premium,Model_D,Feature_4,176.0,38.26
user_552,2025-05-14,Basic,Model_A,Feature_3,10.0,4.45
user_84,2025-03-17,Basic,Model_A,Feature_3,23.0,9.489999999999998
user_83,2025-04-22,Basic,Model_A,Feature_2,11.0,4.43
user_22,2025-03-04,Basic,Model_A,Feature_2,8.0,3.38
user_337,2025-05-26,Enterprise,Model_B,Feature_2,96.0,37.83
user_478,2025-04-24,Premium,Model_A,Feature_1,21.0,7.4
user_613,2025-04-16,Basic,Model_D,Feature_4,32.0,3.42
user_778,2025-05-27,Enterprise,Model_A,Feature_1,33.0,12.75
user_816,2025-05-22,Premium,Model_A,Feature_3,38.0,15.37
user_135,2025-05-27,Standard,Model_C,Feature_5,29.0,3.93
user_727,2025-05-05,Basic,Model_A,Feature_1,6.0,2.07
user_524,2025-04-21,Premium,Model_D,Feature_2,77.0,16.17
user_132,2025-03-10,Basic,Model_A,Feature_1,6.0,2.23
user_634,2025-03-13,Enterprise,Model_C,Feature_3,93.0,21.39
user_924,2025-05-15,Standard,Model_E,Feature_1,58.0,11.27
user_50,2025-04-23,Enterprise,Model_B,Feature_2,39.0,14.67
user_179,2025-03-20,Basic,Model_A,Feature_2,6.0,2.54
user_831,2025-05-23,Basic,Model_B,Feature_3,28.0,10.79
user_284,2025-04-16,Standard,Model_B,Feature_3,22.0,10.19
user_527,2025-03-12,Standard,Model_D,Feature_3,32.0,4.87
user_529,2025-03-25,Enterprise,Model_A,Feature_1,45.0,13.68
user_229,2025-05-26,Basic,Model_D,Feature_2,26.0,4.62
